Frase,Gabarito (Gold),Claude_sonnet5,respostaGrok4.0Fast,respostasGemini3.1Pro,respostas_gpt5.5_mini
"Em 1841, Léon Escudier escreveu sobre um recital de Chopin naquele ano Pode-se dizer que Chopin é o criador de uma escola de piano e escola de composição.","Léon Escudier → escreveu sobre → um recital de Chopin
Chopin → é → o criador de uma escola de piano
Chopin → é → o criador de uma escola de piano e escola de composição
⚠ Chopin → é o criador de → uma escola de piano
⚠ Chopin → é o criador de → uma escola de piano e escola de composição","✓✓ Léon Escudier → escreveu sobre → um recital de Chopin
✗ Léon Escudier → escreveu sobre um recital de Chopin em → 1841","✓ Léon Escudier → escreveu sobre → um recital de Chopin naquele ano
✓✓ Chopin → é → o criador de uma escola de piano
✓ Chopin → é → o criador de escola de composição",✓✓ Léon Escudier → escreveu sobre → um recital de Chopin,✓ Léon Escudier → escreveu sobre → um recital de Chopin naquele ano
"Em setembro de 1828, Chopin, ainda estudante, visitou Berlim com um amigo de a família, o zoólogo Feliks Jarocki, desfrutando de óperas dirigidas por Gaspare Spontini e assistindo a concertos de Carl Friedrich Zelter, Felix Mendelssohn e outras celebridades.","⚠ Chopin → visitou → Berlim com um amigo
Chopin → visitou → Berlim","✗ Chopin → era ainda → estudante
✗ Feliks Jarocki → era → um amigo da família de Chopin
✗ Feliks Jarocki → era → o zoólogo
✓✓ Chopin → visitou → Berlim
✗ Chopin → visitou Berlim em → setembro de 1828
✗ Chopin → visitou Berlim com → Feliks Jarocki
✗ Chopin → desfrutou de → óperas
✗ óperas → foram dirigidas por → Gaspare Spontini
✗ Chopin → assistiu a → concertos de Carl Friedrich Zelter
✗ Chopin → assistiu a → concertos de Felix Mendelssohn
✗ Chopin → assistiu a → concertos de outras celebridades","✗ Chopin → ainda era → estudante
✓✓ Chopin → visitou → Berlim
✗ Chopin → visitou com → um amigo da família, o zoólogo Feliks Jarocki
✗ Chopin → desfrutando de → óperas dirigidas por Gaspare Spontini
✗ Chopin → assistindo a → concertos de Carl Friedrich Zelter
✗ Chopin → assistindo a → concertos de Felix Mendelssohn","✓✓ Chopin → visitou → Berlim
✗ Chopin → era → ainda estudante
✗ um amigo de a família → é → o zoólogo Feliks Jarocki
✗ Chopin → desfrutou de → óperas dirigidas por Gaspare Spontini","✓✓ Chopin → visitou → Berlim
✗ Chopin → visitou → Berlim com um amigo de a família, o zoólogo Feliks Jarocki
✗ Chopin → desfrutou de → óperas dirigidas por Gaspare Spontini
✗ Chopin → assistiu a → concertos de Carl Friedrich Zelter, Felix Mendelssohn e outras celebridades"
"A partir de 1236, o príncipe mongol Kublai, que mais tarde governou como Khagan de 1260 a 1294, recebeu um grande appanage em o norte de a China por seu superior, Ögedei Khan.",Kublai → recebeu → um grande appanage em o norte de a China,"✗ Kublai → era → o príncipe mongol
✗ Kublai → governou como Khagan de → 1260 a 1294
✗ Kublai → recebeu → um grande appanage
✗ Kublai → recebeu um grande appanage em → o norte da China
✗ Kublai → recebeu um grande appanage de → Ögedei Khan
✗ Kublai → recebeu um grande appanage a partir de → 1236
✗ Ögedei Khan → era → o superior de Kublai","✗ o príncipe mongol Kublai → recebeu → um grande appanage no norte de a China
✗ Kublai → mais tarde governou como → Khagan de 1260 a 1294
✗ Kublai → recebeu por → seu superior, Ögedei Khan","✗ o príncipe mongol Kublai → recebeu → um grande appanage
✗ o príncipe mongol Kublai → governou como → Khagan
✗ seu superior → é → Ögedei Khan","✗ Kublai → governou como Khagan de → 1260 a 1294
✓✓ Kublai → recebeu → um grande appanage em o norte de a China
✗ Kublai → recebeu → um grande appanage em o norte de a China por Ögedei Khan"
"Dreyfus escreve que depois que o Phagmodrupa perdeu seu poder centralizador sobre o Tibete em 1434, várias tentativas de outras famílias para estabelecer hegemonias falharam em os próximos dois séculos até 1642 com a efetiva hegemonia de o 5º Dalai Lama sobre o Tibete.",o Phagmodrupa → perdeu → seu poder centralizador sobre o Tibete,"✗ Dreyfus → escreve que → depois que o Phagmodrupa perdeu seu poder centralizador sobre o Tibete em 1434, várias tentativas de outras famílias para estabelecer hegemonias falharam nos próximos dois séculos até 1642 com a efetiva hegemonia do 5º Dalai Lama sobre o Tibete","✓ o Phagmodrupa → perdeu → seu poder centralizador sobre o Tibete em 1434
✗ o 5º Dalai Lama → teve → efetiva hegemonia sobre o Tibete","✗ Dreyfus → escreve → que depois que o Phagmodrupa perdeu seu poder centralizador sobre o Tibete em 1434, várias tentativas de outras famílias para estabelecer hegemonias falharam em os próximos dois séculos","✗ Dreyfus → escreve que → o Phagmodrupa perdeu seu poder centralizador sobre o Tibete em 1434
✗ Dreyfus → escreve que → várias tentativas de outras famílias para estabelecer hegemonias falharam em os próximos dois séculos até 1642
✗ Dreyfus → escreve que → houve a efetiva hegemonia de o 5º Dalai Lama sobre o Tibete em 1642"
"Quando o imperador Ming Yongle convidou Je Tsongkhapa (1357-1419), fundador de a escola Gelug, para ir a a corte Ming e prestar homenagem, este último recusou.",o imperador Ming Yongle → convidou → Je Tsongkhapa,"✗ Je Tsongkhapa → era → o fundador da escola Gelug
✗ Je Tsongkhapa → viveu de → 1357 a 1419
✓✓ o imperador Ming Yongle → convidou → Je Tsongkhapa
✗ o imperador Ming Yongle → convidou Je Tsongkhapa para ir a → a corte Ming
✗ o imperador Ming Yongle → convidou Je Tsongkhapa para → prestar homenagem
✗ Je Tsongkhapa → recusou → o convite do imperador Ming Yongle","✗ Je Tsongkhapa → é → fundador de a escola Gelug
✓✓ o imperador Ming Yongle → convidou → Je Tsongkhapa
✗ Je Tsongkhapa → recusou → ir a a corte Ming e prestar homenagem","✗ Je Tsongkhapa → é → fundador de a escola Gelug
✗ Je Tsongkhapa → recusou → ir a a corte Ming","✓✓ o imperador Ming Yongle → convidou → Je Tsongkhapa
✗ Je Tsongkhapa → é fundador de → a escola Gelug
✗ Je Tsongkhapa → recusou → o convite do imperador Ming Yongle"
"Chen Qingying afirma que Tsongkhapa escreveu uma carta para recusar o convite de o Imperador e, nesta resposta, Tsongkhapa escreveu","⚠ Tsongkhapa → escreveu → uma carta
⚠ Tsongkhapa → escreveu → uma carta para recusar o convite de o Imperador",✗ Chen Qingying → afirma que → Tsongkhapa escreveu uma carta para recusar o convite do Imperador,✗ Tsongkhapa → escreveu uma carta → para recusar o convite do Imperador,✗ Chen Qingying → afirma → que Tsongkhapa escreveu uma carta para recusar o convite de o Imperador,✗ Chen Qingying → afirma que → Tsongkhapa escreveu uma carta para recusar o convite de o Imperador
"No entanto, depois que Altan Khan (1507-1582) - líder de os mongóis Tümed que derrubou a hegemonia de a confederação Oirat Mongol sobre as estepes - fez as pazes com a dinastia Ming em 1571, ele persuadiu os Ming a reabrir seus mercados de fronteira em 1573.","⚠ Altan Khan → fez → as pazes com a dinastia Ming
⚠ Altan Khan → fez → as pazes com a dinastia Ming em 1571
Altan Khan → fez as pazes com → a dinastia Ming
Altan Khan → fez as pazes com → a dinastia Ming em 1571","✗ Altan Khan → era → o líder dos mongóis Tümed
✗ Altan Khan → viveu de → 1507 a 1582
✗ Altan Khan → derrubou → a hegemonia da confederação Oirat Mongol sobre as estepes
✓✓ Altan Khan → fez as pazes com → a dinastia Ming
✗ Altan Khan → fez as pazes com a dinastia Ming em → 1571
✗ Altan Khan → persuadiu → os Ming
✗ Altan Khan → persuadiu os Ming a reabrir → os mercados de fronteira dos Ming
✗ Altan Khan → persuadiu os Ming a reabrir os mercados de fronteira dos Ming em → 1573","✗ Altan Khan → é → líder de os mongóis Tümed
✗ Altan Khan → derrubou → a hegemonia de a confederação Oirat Mongol sobre as estepes
✓✓ Altan Khan → fez as pazes com → a dinastia Ming em 1571
✗ Altan Khan → persuadiu → os Ming a reabrir seus mercados de fronteira em 1573","✗ Altan Khan → é → líder de os mongóis Tümed
✗ líder de os mongóis Tümed → derrubou → a hegemonia de a confederação Oirat Mongol sobre as estepes
✓✓ Altan Khan → fez as pazes com → a dinastia Ming
✗ Altan Khan → persuadiu → os Ming a reabrir seus mercados de fronteira","✗ Altan Khan → é líder de → os mongóis Tümed
✗ Altan Khan → derrubou → a hegemonia de a confederação Oirat Mongol sobre as estepes
✓✓ Altan Khan → fez as pazes com → a dinastia Ming
✗ Altan Khan → persuadiu → os Ming a reabrir seus mercados de fronteira"
Klieger escreve que a presença de Altan Khan em o oeste reduziu efetivamente a influência de os Ming e o contato com o Tibete.,"a presença de Altan Khan em o oeste → reduziu → a influência de os Ming
a presença de Altan Khan em o oeste → reduziu → o contato com o Tibete
⚠ a presença de Altan Khan em o oeste → reduziu → a influência de os Ming e o contato com o Tibete","✗ Klieger → escreve que → a presença de Altan Khan no oeste reduziu efetivamente a influência dos Ming
✗ Klieger → escreve que → a presença de Altan Khan no oeste reduziu efetivamente o contato com o Tibete","✓ a presença de Altan Khan → reduziu → efetivamente a influência de os Ming
✓ a presença de Altan Khan → reduziu → o contato com o Tibete",✗ Klieger → escreve → que a presença de Altan Khan em o oeste reduziu efetivamente a influência de os Ming,✗ Klieger → escreve que → a presença de Altan Khan em o oeste reduziu efetivamente a influência de os Ming e o contato com o Tibete
"Depois que Altan Khan fez as pazes com a dinastia Ming em 1571, ele convidou o terceiro hierarca de a Gelug - Sönam Gyatso (1543-1588) - para encontrá-lo em Amdo (Qinghai moderno) em 1578, onde acidentalmente concedeu a ele e seus dois antecessores com o título de Dalai Lama - Professor de o Oceano.","⚠ Altan Khan → fez → as pazes com a dinastia Ming
Altan Khan → fez as pazes com → a dinastia Ming","✓✓ Altan Khan → fez as pazes com → a dinastia Ming
✗ Altan Khan → fez as pazes com a dinastia Ming em → 1571
✗ Sönam Gyatso → era → o terceiro hierarca da Gelug
✗ Sönam Gyatso → viveu de → 1543 a 1588
✗ Altan Khan → convidou → Sönam Gyatso
✗ Altan Khan → convidou Sönam Gyatso para encontrar Altan Khan em → Amdo
✗ Amdo → é → o Qinghai moderno
✗ Altan Khan → convidou Sönam Gyatso para encontrar Altan Khan em Amdo em → 1578
✗ Altan Khan → concedeu a Sönam Gyatso → o título de Dalai Lama
✗ Altan Khan → concedeu aos dois antecessores de Sönam Gyatso → o título de Dalai Lama
✗ o título de Dalai Lama → significa → Professor do Oceano","✗ Altan Khan → convidou → o terceiro hierarca de a Gelug - Sönam Gyatso
✗ Sönam Gyatso → é → 1543-1588
✗ Altan Khan → concedeu a ele → o título de Dalai Lama - Professor de o Oceano","✓✓ Altan Khan → fez as pazes com → a dinastia Ming
✗ Altan Khan → convidou → o terceiro hierarca de a Gelug
✗ o terceiro hierarca de a Gelug → é → Sönam Gyatso","✓ Altan Khan → fez as pazes com → a dinastia Ming em 1571
✗ Altan Khan → convidou → Sönam Gyatso
✗ Sönam Gyatso → é → o terceiro hierarca de a Gelug
✗ Altan Khan → concedeu o título de Dalai Lama a → Sönam Gyatso
✗ Altan Khan → concedeu o título de Dalai Lama aos → dois antecessores de Sönam Gyatso"
"Embora não tenha sido registrada em nenhum registro oficial chinês, a biografia de Sonam Gyatso afirma que Wanli novamente conferiu títulos a Sonam Gyatso em 1588 e o convidou para Pequim por a segunda vez, mas Sonam Gyatso não pôde visitar a China, pois morreu em o mesmo ano em a Mongólia.",Sonam Gyatso → não pôde visitar → a China,"✗ a biografia de Sonam Gyatso → afirma que → Wanli novamente conferiu títulos a Sonam Gyatso em 1588
✗ a biografia de Sonam Gyatso → afirma que → Wanli convidou Sonam Gyatso para Pequim pela segunda vez
✓✓ Sonam Gyatso → não pôde visitar → a China
✗ Sonam Gyatso → morreu em → 1588
✗ Sonam Gyatso → morreu em → a Mongólia","✗ a biografia de Sonam Gyatso → afirma → que Wanli novamente conferiu títulos a Sonam Gyatso em 1588
✗ Wanli → convidou → Sonam Gyatso para Pequim pela segunda vez
✗ Sonam Gyatso → morreu em → o mesmo ano em a Mongólia",✗ a biografia de Sonam Gyatso → afirma → que Wanli novamente conferiu títulos a Sonam Gyatso,"✗ a biografia de Sonam Gyatso → afirma que → Wanli novamente conferiu títulos a Sonam Gyatso em 1588
✗ a biografia de Sonam Gyatso → afirma que → Wanli convidou Sonam Gyatso para Pequim por a segunda vez
✗ Sonam Gyatso → morreu em → 1588 em a Mongólia
✓✓ Sonam Gyatso → não pôde visitar → a China"
"Sem mencionar o papel de os mongóis, o China Daily afirma que foi a sucessiva dinastia Qing que estabeleceu o título de Dalai Lama e seu poder em o Tibete Em 1653, o imperador Qing concedeu um título honorífico a o quinto Dalai Lama e depois o fez.","o imperador Qing → concedeu → um título honorífico a o quinto Dalai Lama
o imperador Qing → concedeu um título honorífico a → o quinto Dalai Lama","✗ o China Daily → afirma que → foi a dinastia Qing que estabeleceu o título de Dalai Lama no Tibete
✗ o China Daily → afirma que → foi a dinastia Qing que estabeleceu seu poder no Tibete
✗ o imperador Qing → concedeu → um título honorífico
✓✓ o imperador Qing → concedeu um título honorífico a → o quinto Dalai Lama
✗ o imperador Qing → concedeu um título honorífico ao quinto Dalai Lama em → 1653","✗ o China Daily → afirma → que foi a sucessiva dinastia Qing que estabeleceu o título de Dalai Lama e seu poder em o Tibete
✓ o imperador Qing → concedeu um título honorífico a → o quinto Dalai Lama em 1653",✗ o China Daily → afirma → que foi a sucessiva dinastia Qing que estabeleceu o título de Dalai Lama e seu poder em o Tibete,"✗ o China Daily → afirma que → a sucessiva dinastia Qing estabeleceu o título de Dalai Lama e seu poder em o Tibete
✓✓ o imperador Qing → concedeu → um título honorífico a o quinto Dalai Lama"
"O imperador Wanli convidou Yonten Gyatso para Pequim em 1616, mas, assim como seu antecessor, ele morreu antes de poder fazer a jornada.","O imperador Wanli → convidou → Yonten Gyatso para Pequim
O imperador Wanli → convidou Yonten Gyatso para → Pequim
⚠ Yonten Gyatso → morreu antes de → poder fazer a jornada","✗ O imperador Wanli → convidou → Yonten Gyatso
✓✓ O imperador Wanli → convidou Yonten Gyatso para → Pequim
✗ O imperador Wanli → convidou Yonten Gyatso para Pequim em → 1616
✗ Yonten Gyatso → morreu antes de poder fazer → a jornada","✓ o imperador Wanli → convidou → Yonten Gyatso para Pequim em 1616
✗ Yonten Gyatso → morreu → antes de poder fazer a jornada","✗ O imperador Wanli → convidou → Yonten Gyatso
✗ Yonten Gyatso → morreu → antes de poder fazer a jornada","✓ o imperador Wanli → convidou → Yonten Gyatso para Pequim em 1616
✗ Yonten Gyatso → morreu antes de poder fazer → a jornada"
"O quarto Dalai Lama se recusou a dar uma audiência a o rei Ü-Tsang, que provocou um conflito quando este começou a atacar mosteiros Gelug.","⚠ Dalai Lama → se recusou a → dar uma audiência
⚠ Dalai Lama → se recusou a → dar uma audiência a o rei Ü-Tsang","✗ O quarto Dalai Lama → se recusou a dar → uma audiência
✗ O quarto Dalai Lama → se recusou a dar uma audiência a → o rei Ü-Tsang
✗ a recusa do quarto Dalai Lama de dar audiência ao rei Ü-Tsang → provocou → um conflito
✗ o rei Ü-Tsang → começou a atacar → mosteiros Gelug","✗ O quarto Dalai Lama → se recusou a dar → uma audiência a o rei Ü-Tsang
✗ o rei Ü-Tsang → provocou um conflito → quando este começou a atacar mosteiros Gelug",✗ O quarto Dalai Lama → se recusou a dar → uma audiência a o rei Ü-Tsang,"✗ O quarto Dalai Lama → se recusou a dar uma audiência a → o rei Ü-Tsang
✗ o rei Ü-Tsang → provocou → um conflito
✗ o rei Ü-Tsang → começou a atacar → mosteiros Gelug"
"Quando um aliado de o governante Ü-Tsang ameaçou novamente a destruição de os Gelugpas, o quinto Dalai Lama Lozang Gyatso pediu ajuda a o príncipe mongol Güshi Khan (1582-1655), líder de a tribo Khoshut (Qoshot) de os mongóis Oirat, que estava então em peregrinação a Lhasa.","⚠ o quinto Dalai Lama → pediu → ajuda a o príncipe mongol Güshi Khan
o quinto Dalai Lama → pediu ajuda a → o príncipe mongol Güshi Khan
⚠ um aliado de o governante Ü-Tsang → ameaçou → a destruição de os Gelugpas","✗ um aliado do governante Ü-Tsang → ameaçou novamente → a destruição dos Gelugpas
✗ Lozang Gyatso → era → o quinto Dalai Lama
✓ o quinto Dalai Lama Lozang Gyatso → pediu ajuda a → o príncipe mongol Güshi Khan
✗ Güshi Khan → viveu de → 1582 a 1655
✗ Güshi Khan → era → o líder da tribo Khoshut dos mongóis Oirat
✗ Güshi Khan → estava em peregrinação a → Lhasa","✓ o quinto Dalai Lama Lozang Gyatso → pediu ajuda a → o príncipe mongol Güshi Khan
✗ Güshi Khan → é → líder de a tribo Khoshut de os mongóis Oirat","✓ o quinto Dalai Lama Lozang Gyatso → pediu ajuda a → o príncipe mongol Güshi Khan
✗ o quinto Dalai Lama → é → Lozang Gyatso","✗ um aliado de o governante Ü-Tsang → ameaçou novamente a destruição de → os Gelugpas
✓ o quinto Dalai Lama Lozang Gyatso → pediu ajuda a → o príncipe mongol Güshi Khan
✗ Güshi Khan → é líder de → a tribo Khoshut (Qoshot) de os mongóis Oirat
✗ Güshi Khan → estava em peregrinação a → Lhasa"
